ElectionYear,CandidateName,HomeState,Incumbent?,CandParty,CandPartyAbbrev,PopularVote,PopVoteShare,ElectoralVotes,ElecVoteShare
1788,George Washington,Virginia,N,Independent,I,39624,100.00%,69,100.00%
1788,John Adams,Massachusetts,N,Federalist,F,0,0.00%,34,49.28%
1788,John Jay,New York,N,Federalist,F,0,0.00%,9,13.04%
1788,Robert H. Harrison,Maryland,N,Federalist,F,0,0.00%,6,8.70%
1788,John Rutledge,South Carolina,N,Federalist,F,0,0.00%,6,8.70%
1788,John Hancock,Massachusetts,N,Federalist,F,0,0.00%,4,5.80%
1788,George Clinton,New York,N,Anti-Federalist,AF,0,0.00%,3,4.35%
1788,Samuel Huntington,Connecticut,N,Federalist,F,0,0.00%,2,2.90%
1788,John Milton,Georgia,N,Federalist,F,0,0.00%,2,2.90%
1788,James Armstrong,Georgia,N,Federalist,F,0,0.00%,1,1.45%
1788,Benjamin Lincoln,Massachusetts,N,Federalist,F,0,0.00%,1,1.45%
1788,Edward Telfair,Georgia,N,Anti-Federalist,AF,0,0.00%,1,1.45%
1792,George Washington,Virginia,Y,Independent,I,28300,100.00%,132,100.00%
1792,John Adams,Massachusetts,N,Federalist,F,0,0.00%,77,58.33%
1792,George Clinton,New York,N,Democratic-Republican,DR,0,0.00%,50,37.88%
1792,Thomas Jefferson,Virginia,N,Democratic-Republican,DR,0,0.00%,4,3.03%
1792,Aaron Burr,New York,N,Democratic-Republican,DR,0,0.00%,1,0.76%
1796,John Adams,Massachusetts,N,Federalist,F,35726,53.45%,71,51.45%
1796,Thomas Jefferson,Virginia,N,Democratic-Republican,DR,31115,46.55%,68,49.28%
1796,Thomas Pinckney,South Carolina,N,Federalist,F,0,0.00%,59,42.75%
1796,Aaron Burr,New York,N,Democratic-Republican,DR,0,0.00%,30,21.74%
1796,Samuel Adams,Massachusetts,N,Democratic-Republican,DR,0,0.00%,15,10.87%
1796,Oliver Ellsworth,Connecticut,N,Federalist,F,0,0.00%,11,7.97%
1796,George Clinton,New York,N,Democratic-Republican,DR,0,0.00%,7,5.07%
